,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ofav_gene,contrast,contrast_gene,name,description,contrast_id
9,66.66491864,-21.6267732,2.671974691,-8.093928911,5.78E-16,1.02E-12,LOC110054542,1,1_LOC110054542,LOC110054542,uncharacterized LOC110054542, C_EE_H_D_EE_H
892,9.272207476,-21.62554734,3.50139925,-6.176258631,6.56E-10,4.87E-08,LOC110069718,4,4_LOC110069718,LOC110069718,DNA polymerase delta subunit 2-like, C_PE_H_C_EE_H
757,19.54120028,-21.6075551,2.735074522,-7.900170514,2.79E-15,5.59E-13,LOC110046618,4,4_LOC110046618,LOC110046618,mitochondrial carnitine/acylcarnitine carrier protein-like, C_PE_H_C_EE_H
287,13.30897963,-21.60226246,5.282301431,-4.089555043,4.32E-05,0.002386568,LOC110042054,1,1_LOC110042054,LOC110042054,FUN14 domain-containing protein 1-like, C_EE_H_D_EE_H
94,20.12088212,-21.59595504,3.801317015,-5.681177065,1.34E-08,2.26E-06,LOC110062317,1,1_LOC110062317,LOC110062317,angiogenic factor with G patch and FHA domains 1-like, C_EE_H_D_EE_H
792,14.82885086,-21.57985352,2.944639378,-7.328521679,2.33E-13,3.24E-11,LOC110051143,4,4_LOC110051143,LOC110051143,"tolloid-like protein 2, transcript variant X1", C_PE_H_C_EE_H
705,28.25669217,-21.5771306,2.360787219,-9.139803209,6.26E-20,3.55E-17,LOC110041256,4,4_LOC110041256,LOC110041256,von Hippel-Lindau tumor suppressor homolog, C_PE_H_C_EE_H
817,13.26979478,-21.55949233,3.101806618,-6.95062426,3.64E-12,4.16E-10,LOC110065762,4,4_LOC110065762,LOC110065762,EGF-like repeat and discoidin I-like domain-containing protein 3, C_PE_H_C_EE_H
806,11.91791726,-21.53961931,3.045907005,-7.071660191,1.53E-12,1.90E-10,LOC110055594,4,4_LOC110055594,LOC110055594,dehydrogenase/reductase SDR family member on chromosome X-like, C_PE_H_C_EE_H
788,11.12371178,-21.53718351,2.897992749,-7.431758939,1.07E-13,1.55E-11,LOC110067164,4,4_LOC110067164,LOC110067164,uncharacterized LOC110067164, C_PE_H_C_EE_H
861,8.777416147,-21.53122421,3.302611466,-6.519454204,7.06E-11,6.12E-09,LOC110042472,4,4_LOC110042472,LOC110042472,uncharacterized LOC110042472, C_PE_H_C_EE_H
744,20.12088212,-21.52563707,2.632122358,-8.178053352,2.88E-16,6.95E-14,LOC110062317,4,4_LOC110062317,LOC110062317,angiogenic factor with G patch and FHA domains 1-like, C_PE_H_C_EE_H
195,18.83549534,-21.51128114,4.518084892,-4.761150279,1.92E-06,0.000157057,LOC110056474,1,1_LOC110056474,LOC110056474,sterol regulatory element-binding protein 1-like, C_EE_H_D_EE_H
749,16.50115776,-21.50965523,2.669932994,-8.056252829,7.87E-16,1.76E-13,LOC110059284,4,4_LOC110059284,LOC110059284,"paramyosin-like, transcript variant X2", C_PE_H_C_EE_H
733,14.56710071,-21.50934766,2.555644576,-8.416408082,3.88E-17,1.12E-14,LOC110042096,4,4_LOC110042096,LOC110042096,potassium channel subfamily K member 15-like, C_PE_H_C_EE_H
958,8.068358084,-21.50310762,3.930157697,-5.471309113,4.47E-08,2.54E-06,LOC110052143,4,4_LOC110052143,LOC110052143,uncharacterized LOC110052143, C_PE_H_C_EE_H
711,26.34680769,-21.4992054,2.41238535,-8.912011259,5.01E-19,2.41E-16,LOC110054683,4,4_LOC110054683,LOC110054683,nudix hydrolase 8-like, C_PE_H_C_EE_H
730,17.36169121,-21.47551558,2.541552579,-8.449762464,2.92E-17,8.92E-15,LOC110066112,4,4_LOC110066112,LOC110066112,"arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2-like", C_PE_H_C_EE_H
772,14.14335469,-21.47523167,2.778973132,-7.727757934,1.09E-14,1.85E-12,LOC110055237,4,4_LOC110055237,LOC110055237,vesicle transport protein GOT1B-like, C_PE_H_C_EE_H
696,17.83992755,-21.47515567,2.236181452,-9.60349423,7.73E-22,6.82E-19,LOC110062674,4,4_LOC110062674,LOC110062674,tetratricopeptide repeat protein 28-like, C_PE_H_C_EE_H
725,12.42205274,-21.46565433,2.524068913,-8.50438521,1.83E-17,6.17E-15,LOC110048542,4,4_LOC110048542,LOC110048542,zinc phosphodiesterase ELAC protein 2-like, C_PE_H_C_EE_H
812,18.23614329,-21.46330827,3.054739641,-7.026231626,2.12E-12,2.52E-10,LOC110069515,4,4_LOC110069515,LOC110069515,glutathione-specific gamma-glutamylcyclotransferase 1-like, C_PE_H_C_EE_H
997,7.280149294,-21.43972374,4.374780308,-4.900754376,9.55E-07,4.76E-05,LOC110056074,4,4_LOC110056074,LOC110056074,"ATP synthase subunit s, mitochondrial-like", C_PE_H_C_EE_H
940,5.332188431,-21.43843253,3.781460253,-5.669352869,1.43E-08,8.69E-07,LOC110061555,4,4_LOC110061555,LOC110061555,"uncharacterized LOC110061555, transcript variant X1", C_PE_H_C_EE_H
781,18.4495957,-21.43016578,2.822453519,-7.59274356,3.13E-14,4.83E-12,LOC110069503,4,4_LOC110069503,LOC110069503,uncharacterized LOC110069503, C_PE_H_C_EE_H
901,10.34384614,-21.42872165,3.542615371,-6.048842284,1.46E-09,1.04E-07,LOC110039848,4,4_LOC110039848,LOC110039848,uncharacterized LOC110039848, C_PE_H_C_EE_H
697,28.1765426,-21.42630127,2.275186451,-9.417382588,4.62E-21,3.87E-18,LOC110067644,4,4_LOC110067644,LOC110067644,"neurocalcin homolog, transcript variant X1", C_PE_H_C_EE_H
702,18.13833569,-21.42504878,2.31915176,-9.238312536,2.50E-20,1.66E-17,LOC110055735,4,4_LOC110055735,LOC110055735,uncharacterized LOC110055735, C_PE_H_C_EE_H
1006,14.79010743,-21.42401348,4.529573446,-4.729808166,2.25E-06,0.000108879,LOC110069209,4,4_LOC110069209,LOC110069209,deleted in malignant brain tumors 1 protein-like, C_PE_H_C_EE_H
7,49.56764317,-21.42000356,2.538574382,-8.437808128,3.23E-17,7.34E-14,LOC110066850,1,1_LOC110066850,LOC110066850,uncharacterized LOC110066850, C_EE_H_D_EE_H
902,17.3917965,-21.41983542,3.559621819,-6.017446938,1.77E-09,1.26E-07,LOC110041899,4,4_LOC110041899,LOC110041899,E3 ubiquitin-protein ligase TRIM71-like, C_PE_H_C_EE_H
213,11.23704164,-21.41576705,4.602152957,-4.653423572,3.26E-06,0.000243564,LOC110040957,1,1_LOC110040957,LOC110040957,BLOC-1-related complex subunit 5-like, C_EE_H_D_EE_H
700,21.58455583,-21.40434725,2.310889576,-9.262384269,2.00E-20,1.44E-17,LOC110067912,4,4_LOC110067912,LOC110067912,"uncharacterized LOC110067912, transcript variant X2", C_PE_H_C_EE_H
59,36.10334154,-21.40075584,3.494437231,-6.1242353,9.11E-10,2.45E-07,LOC110039872,1,1_LOC110039872,LOC110039872,anion exchange protein 3-like, C_EE_H_D_EE_H
124,11.42279308,-21.39088802,4.00158507,-5.345603717,9.01E-08,1.15E-05,LOC110069527,1,1_LOC110069527,LOC110069527,"uncharacterized protein C15orf41 homolog, transcript variant X2", C_EE_H_D_EE_H
38,39.5607303,-21.37160988,3.35248036,-6.374865052,1.83E-10,7.66E-08,LOC110052514,1,1_LOC110052514,LOC110052514,two pore potassium channel protein sup-9-like, C_EE_H_D_EE_H
755,13.37077615,-21.34742035,2.687249225,-7.943967442,1.96E-15,4.08E-13,LOC110068266,4,4_LOC110068266,LOC110068266,serine/threonine-protein phosphatase 4 regulatory subunit 1-like, C_PE_H_C_EE_H
878,17.27914701,-21.34675216,3.372508413,-6.329636445,2.46E-10,1.95E-08,LOC110045604,4,4_LOC110045604,LOC110045604,uncharacterized LOC110045604, C_PE_H_C_EE_H
682,35.95108468,-21.34606182,1.949422463,-10.94994144,6.65E-28,2.64E-24,LOC110063950,4,4_LOC110063950,LOC110063950,transient receptor potential cation channel subfamily A member 1 homolog, C_PE_H_C_EE_H
234,7.320402136,-21.34503997,4.738021324,-4.505053589,6.64E-06,0.000450627,LOC110047416,1,1_LOC110047416,LOC110047416,uncharacterized LOC110047416, C_EE_H_D_EE_H
174,14.81624534,-21.34253721,4.332993414,-4.925587271,8.41E-07,7.68E-05,LOC110064890,1,1_LOC110064890,LOC110064890,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like", C_EE_H_D_EE_H
905,8.27947898,-21.32500621,3.563696472,-5.983956933,2.18E-09,1.52E-07,LOC110064941,4,4_LOC110064941,LOC110064941,uncharacterized LOC110064941, C_PE_H_C_EE_H
745,13.68292128,-21.32085508,2.616384992,-8.148974692,3.67E-16,8.71E-14,LOC110057383,4,4_LOC110057383,LOC110057383,adenosine receptor A3-like, C_PE_H_C_EE_H
768,14.65079506,-21.32010544,2.742510236,-7.773938327,7.61E-15,1.34E-12,LOC110045038,4,4_LOC110045038,LOC110045038,vacuolar protein sorting-associated protein 37A-like, C_PE_H_C_EE_H
928,6.624776761,-21.31787661,3.711460735,-5.743796885,9.26E-09,5.88E-07,LOC110059968,4,4_LOC110059968,LOC110059968,carbohydrate sulfotransferase 3-like, C_PE_H_C_EE_H
779,14.64740373,-21.31717868,2.794095498,-7.629366531,2.36E-14,3.71E-12,LOC110060233,4,4_LOC110060233,LOC110060233,beta-2 adrenergic receptor-like, C_PE_H_C_EE_H
135,12.15077083,-21.31568554,4.059175994,-5.251234628,1.51E-07,1.78E-05,LOC110041025,1,1_LOC110041025,LOC110041025,kelch-like protein 1, C_EE_H_D_EE_H
753,18.79934339,-21.29923979,2.680853993,-7.944945846,1.94E-15,4.08E-13,LOC110057336,4,4_LOC110057336,LOC110057336,atherin-like, C_PE_H_C_EE_H
106,16.50115776,-21.26826018,3.8582234,-5.512449118,3.54E-08,5.32E-06,LOC110059284,1,1_LOC110059284,LOC110059284,"paramyosin-like, transcript variant X2", C_EE_H_D_EE_H
301,8.781686532,-21.24487657,5.307715724,-4.002640245,6.26E-05,0.003306992,LOC110060670,1,1_LOC110060670,LOC110060670,putative beta-lactamase-like 1, C_EE_H_D_EE_H
185,12.57453693,-21.23962038,4.382875563,-4.846046865,1.26E-06,0.000108184,LOC110045444,1,1_LOC110045444,LOC110045444,SHC SH2 domain-binding protein 1 homolog B-like, C_EE_H_D_EE_H
681,66.66491864,-21.21939111,1.88016266,-11.28593369,1.54E-29,8.16E-26,LOC110054542,4,4_LOC110054542,LOC110054542,uncharacterized LOC110054542, C_PE_H_C_EE_H
771,15.13043523,-21.21842323,2.742069893,-7.738104444,1.01E-14,1.72E-12,LOC110041529,4,4_LOC110041529,LOC110041529,uncharacterized LOC110041529, C_PE_H_C_EE_H
767,14.36679424,-21.21692773,2.719220216,-7.802577961,6.07E-15,1.08E-12,LOC110068357,4,4_LOC110068357,LOC110068357,"alternative oxidase, mitochondrial-like", C_PE_H_C_EE_H
343,7.02457019,-21.21562472,5.74680126,-3.691727581,0.000222736,0.0103735,LOC110068112,1,1_LOC110068112,LOC110068112,"gamma-2-syntrophin-like, transcript variant X2", C_EE_H_D_EE_H
309,7.873200286,-21.20468869,5.363042113,-3.953854593,7.69E-05,0.003942104,LOC110043862,1,1_LOC110043862,LOC110043862,uncharacterized protein YxeI-like, C_EE_H_D_EE_H
820,15.80166519,-21.20428677,3.06657316,-6.914652175,4.69E-12,5.25E-10,LOC110057028,4,4_LOC110057028,LOC110057028,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2-like, C_PE_H_C_EE_H
